,ThumbnailDeviceHelperWnd,
,ForegroundStaging,
Default IME,IME,
,ForegroundStaging,
,tooltips_class32,
MSCTFIME UI,MSCTFIME UI,
Default IME,IME,
,tooltips_class32,
,Shell_TrayWnd,
panel,wxWindowNR,
,Auto-Suggest Dropdown,
Battery Meter,SystemTray_Main,
Default IME,IME,
,ATL:00007FFC4673A050,
Sprig Electron View,Chrome_WidgetWin_1,
Tray Assistant,Chrome_WidgetWin_1,
MSCTFIME UI,MSCTFIME UI,
Default IME,IME,
,#32770,
,tooltips_class32,
panel,wxWindowNR,
,tooltips_class32,
,tooltips_class32,
MSCTFIME UI,MSCTFIME UI,
Default IME,IME,
Windows,Main Windows Window Class,
,tooltips_class32,
MSCTFIME UI,MSCTFIME UI,
Default IME,IME,
,tooltips_class32,
Windows - File Explorer,CabinetWClass,
MSCTFIME UI,MSCTFIME UI,
Default IME,IME,
,PseudoConsoleWindow,
Command Prompt,CASCADIA_HOSTING_WINDOW_CLASS,
MSCTFIME UI,MSCTFIME UI,
Default IME,IME,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,wxWindowNR,
,wxWindowNR,
,tooltips_class32,
,wxWindowNR,
,wxWindowNR,
,wxWindowNR,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,wxWindowNR,
Call stack,wxWindowNR,
,wxWindowNR,
Breakpoints,wxWindowNR,
,wxWindowNR,
CPU Registers,wxWindowNR,
,wxWindowNR,
Disassembly,wxWindowNR,
,wxWindowNR,
Memory,wxWindowNR,
,wxWindowNR,
Running threads,wxWindowNR,
,wxWindowNR,
Watches,wxWindowNR,
,wxWindowNR,
Scripting console,wxWindowNR,
,wxWindowNR,
CodeSnippets,wxWindowNR,
,wxWindowNR,
HTML viewer,wxWindowNR,
,wxWindowNR,
Fortran Call/Called-By tree,wxWindowNR,
,wxWindowNR,
Todo list,wxWindowNR,
,wxWindowNR,
Tool Output,wxWindowNR,
Spell-Checker,#32770,
Windows.h - Code::Blocks 25.03,wxWindowNR,
Default IME,IME,
MSCTFIME UI,MSCTFIME UI,
Progress,OperationStatusWindow,
,PersonalizationThemeChangeListener,
Default IME,IME,
Default IME,IME,
Settings,Windows.UI.Core.CoreWindow,
,WorkerW,
Default IME,IME,
Default IME,IME,
Settings,ApplicationFrameWindow,
,Chrome_WidgetWin_0,
Default IME,IME,
,Chrome_SystemMessageWindow,
,Chrome_WidgetWin_0,
,Base_PowerMessageWindow,
,Chrome_WidgetWin_0,
,Chrome_WidgetWin_0,
,Base_PowerMessageWindow,
,crashpad_SessionEndWatcher,
Default IME,IME,
MSCTFIME UI,MSCTFIME UI,
Default IME,IME,
Lenovo Process Throttling,WindowsForms10.Window.8.app.0.34f5582_r7_ad1,
,WindowsForms10.Window.0.app.0.34f5582_r7_ad1,
GDI+ Window (LenovoPPM.exe),GDI+ Hook Window Class,
Default IME,IME,
.NET-BroadcastEventWindow.4.0.0.0.34f5582.0,.NET-BroadcastEventWindow.4.0.0.0.34f5582.0,
DesktopWindowXamlSource,Windows.UI.Core.CoreWindow,
DDE Server Window,OleDdeWndClass,
MSCTFIME UI,MSCTFIME UI,
Default IME,IME,
,ApplicationManager_DesktopShellWindow,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
Project Options Plugin,#32770,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,ComboLBox,
,tooltips_class32,
Select type,#32770,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,wxTLWHiddenParent,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,ComboLBox,
,tooltips_class32,
,wxTimerHiddenWindow,
,ComboLBox,
,tooltips_class32,
,ComboLBox,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,tooltips_class32,
,wxDisplayHiddenWindow,
,DDEMLEvent,
,DDEMLMom,
,WorkerW,
MSCTFIME UI,MSCTFIME UI,
Default IME,IME,
DropboxFileActivationHandler,DropboxFileActivationHandler,
DropboxDropboxUrlScheme,DropboxDropboxUrlScheme,
Default IME,IME,
,crashpad_SessionEndWatcher,
Default IME,IME,
,Chrome_WidgetWin_0,
,Chrome_WidgetWin_0,
GDI+ Window (Explorer.EXE),GDI+ Hook Window Class,
Default IME,IME,
,WorkerW,
,WorkerW,
Default IME,IME,
.NET-BroadcastEventWindow.3d893c.0,.NET-BroadcastEventWindow.3d893c.0,
Default IME,IME,
,HwndWrapper[NordVPNApp;Hosted Main;3b96c584-d99b-463d-af90-8755807705cb],
NordVPN ,HwndWrapper[NordVPNApp;Hosted Main;3a2b442b-d3ed-4a92-ae0d-0517b10f31dc],
,WPFTaskbarIcon_054336e1-f448-42a0-8c75-a674c1552855,
MediaContextNotificationWindow,HwndWrapper[NordVPNApp;Hosted Main;9ebbc482-54ef-4543-a426-56279ab555e3],
GDI+ Window (NordVPN.exe),GDI+ Hook Window Class,
Default IME,IME,
.NET-BroadcastEventWindow.39c82f0.0,.NET-BroadcastEventWindow.39c82f0.0,
Default IME,IME,
Default IME,IME,
MSCTFIME UI,MSCTFIME UI,
SystemResourceNotifyWindow,HwndWrapper[NordVPNApp;Hosted Main;0a74fba4-b386-448c-acdb-886229d164b8],
,HwndWrapper[NordVPNApp;Hosted Main;716a9a93-8dc6-4074-96c7-f7b30f382ef4],
Default IME,IME,
MSCTFIME UI,MSCTFIME UI,
CNortonTrayIcon,nll_av_tray_icon_wndclass,
,AppDefaultsMonitorWindow,
,Chrome_WidgetWin_0,
,Chrome_WidgetWin_0,
,Chrome_WidgetWin_0,
Default IME,IME,
,Chrome_WidgetWin_0,
,Base_PowerMessageWindow,
,crashpad_SessionEndWatcher,
Default IME,IME,
,SystemHealthMonitor,
,OlkMessageHandler,
,TrayInstanceWindow,
,SubscriptionDispatcher,
,Olk Staging Area,
FNForMonitorMic,FNForMonitorMic,
GDI+ Window (FnHotkeyUtility.exe),GDI+ Hook Window Class,
FnHotkeyUtility,Lenovo_Utility_Window,
Default IME,IME,
Fn_Hotkey_CapsLKNumLK,FNHOTKEYCAPSLKNUMLK,
Default IME,IME,
,HelperWndClass,
Default IME,IME,
,USERSSCTRLWND,
Default IME,IME,
.NET-BroadcastEventWindow.21af1a5.0,.NET-BroadcastEventWindow.21af1a5.0,
Default IME,IME,
C:\Windows\system32\AutoModeDetect.exe,ConsoleWindowClass,
Default IME,IME,
,WorkerW,
C:\Windows\System32\DriverStore\FileRepository\lnvsst.inf_amd64_f352f4254b85e733\SmartSenseController.exe,ConsoleWindowClass,
Default IME,IME,
,WorkerW,
Default IME,IME,
MS_WebcheckMonitor,MS_WebcheckMonitor,
BluetoothNotificationAreaIconWindowClass,BluetoothNotificationAreaIconWindowClass,
,WorkerW,
Default IME,IME,
,WorkerW,
Default IME,IME,
MiracastConnectionWindow,MiracastConnectionWindow,
DDE Server Window,OleDdeWndClass,
,WorkerW,
Default IME,IME,
,Postures Broadcast Listener Class,
,EdgeUiInputTopWndClass,
,TabletModeCoverWindow,
,WorkerW,
,WorkerW,
,DummyDWMListenerWindow,
,DummyDWMListenerWindow,
,DummyDWMListenerWindow,
,DummyDWMListenerWindow,
,DummyDWMListenerWindow,
DesktopWindowXamlSource,Windows.UI.Core.CoreWindow,
Default IME,IME,
MSCTFIME UI,MSCTFIME UI,
,WorkerW,
,WorkerW,
,WorkerW,
,WorkerW,
Default IME,IME,
,WorkerW,
DesktopWindowXamlSource,Windows.UI.Core.CoreWindow,
,DDEMLEvent,
,DDEMLMom,
Default IME,IME,
Windows Push Notifications Platform,PushNotificationsPowerManagement,
Default IME,IME,
Task Host Window,COMTASKSWINDOWCLASS,
DWM Notification Window,Dwm,
,CicLoaderWndClass,
Email - Jim Smith - Outlook,Olk Host,
windows_edb_devicenotify,windows_devicenotify,
Default IME,IME,
,Chrome_WidgetWin_0,
DropboxShellHookPolaris,DropboxShellHookPolaris,
,Chrome_WidgetWin_0,
Default IME,IME,
,Chrome_WidgetWin_0,
Default IME,IME,
,Electron_NotifyIconHostWindow,
DropboxSystemTimeMonitorTrayHook,DropboxSystemTimeMonitorTrayHook,
DropboxSystemStatusMonitorShellHook,DropboxSystemStatusMonitorShellHook,
,Chrome_SystemMessageWindow,
,Chrome_WidgetWin_0,
,Base_PowerMessageWindow,
MSCTFIME UI,MSCTFIME UI,
Default IME,IME,
MSCTFIME UI,MSCTFIME UI,
Default IME,IME,
Email - Jim Smith - Outlook,Olk Host,
MSCTFIME UI,MSCTFIME UI,
Default IME,IME,
winapi - How to get the number of columns in a list control - Stack Overflow - Brave,Chrome_WidgetWin_1,
Program Manager,Progman,
